date,value,unit
2018/01,NaN,degreeC
2018/02,4.238000631332388,degreeC
2018/03,5.644700875614222,degreeC
2018/04,8.117600598576667,degreeC
2018/05,10.967001109475204,degreeC
2018/06,15.731001179097257,degreeC
2018/07,20.826801335967524,degreeC
2018/08,24.8396014179454,degreeC
2018/09,21.89660173980065,degreeC
2018/10,19.453701448983267,degreeC
2018/11,15.049701333271102,degreeC
2018/12,12.017000684631167,degreeC
2019/01,NaN,degreeC
2019/02,NaN,degreeC
2019/03,3.8093006319027176,degreeC
2019/04,7.347200749283922,degreeC
2019/05,12.189799953986068,degreeC
2019/06,18.56960142803687,degreeC
2019/07,17.78540134878744,degreeC
2019/08,23.97950181628491,degreeC
2019/09,23.473101555294082,degreeC
2019/10,20.137401540402955,degreeC
2019/11,16.40000114782382,degreeC
2019/12,9.978501011871629,degreeC
2020/01,9.564801216125566,degreeC
2020/02,NaN,degreeC
2020/03,6.846500716192273,degreeC
2020/04,8.195300765853903,degreeC
2020/05,12.802101124031608,degreeC
2020/06,15.88700139275589,degreeC
2020/07,21.00710161886427,degreeC
2020/08,24.743301251063706,degreeC
2020/09,23.49440189135477,degreeC
2020/10,19.075700766625307,degreeC
2020/11,NaN,degreeC
2020/12,NaN,degreeC
2021/01,NaN,degreeC
2021/02,3.3047004446466,degreeC
2021/03,4.172000577220464,degreeC
2021/04,8.09000089029388,degreeC
2021/05,11.916801128908256,degreeC
2021/06,15.750201441249,degreeC
2021/07,22.14290186824509,degreeC
2021/08,26.149402253820075,degreeC
2021/09,21.897200967852207,degreeC
2021/10,20.218402649723945,degreeC
2021/11,16.592002803102307,degreeC
2021/12,13.542500525992915,degreeC
2022/01,NaN,degreeC
2022/02,4.931600570678793,degreeC
2022/03,4.439000757177089,degreeC
2022/04,7.2350004332208915,degreeC
2022/05,11.587699975445831,degreeC
2022/06,16.68680132490587,degreeC
2022/07,24.156498323946867,degreeC
2022/08,24.232401834372556,degreeC
2022/09,22.706903473361614,degreeC
2022/10,19.15580150726901,degreeC
2022/11,15.936501158609653,degreeC
2022/12,8.912001115005644,degreeC
2023/01,7.173799883172539,degreeC
2023/02,3.4379005658871935,degreeC
2023/03,5.234900782561895,degreeC
2023/04,6.791600967082237,degreeC
2023/05,13.08829996724759,degreeC
2023/06,18.36980165151048,degreeC
2023/07,24.476901772332795,degreeC
2023/08,27.898702286053354,degreeC
2023/09,25.67930174547248,degreeC
2023/10,20.672000692838363,degreeC
2023/11,18.391101214393945,degreeC
2023/12,NaN,degreeC
2024/01,NaN,degreeC
2024/02,4.851500356264541,degreeC
2024/03,5.069600036813534,degreeC
2024/04,7.346298404553085,degreeC
2024/05,12.46460119299505,degreeC
2024/06,19.656501151752394,degreeC
2024/07,18.887901371260117,degreeC
2024/08,25.62110099998825,degreeC
2024/09,24.76070221983294,degreeC
2024/10,20.516301476125864,degreeC
2024/11,13.727301177332826,degreeC
2024/12,9.722901018326645,degreeC
2025/01,6.753200450635132,degreeC
2025/02,NaN,degreeC
2025/03,6.066200717694026,degreeC
2025/04,7.66720078544712,degreeC
2025/05,12.520401104696253,degreeC
2025/06,19.41740087735588,degreeC
2025/07,24.56810238806024,degreeC
2025/08,26.88440227957462,degreeC
2025/09,25.76360162728093,degreeC
2025/10,21.89899921866314,degreeC
2025/11,14.85500139974725,degreeC
2025/12,NaN,degreeC
2026/01,NaN,degreeC
2026/02,4.289600849151586,degreeC